"","name","longitude","latitude","prov","date","key"
"1","Argia pulla Hagen, 1865",-107.467095,24.763487,"gbif",2024-01-02,"4512180645"
"2","Argia pulla Hagen, 1865",-107.383647,24.815995,"gbif",2024-01-06,"4512198834"
"3","Argia pulla Hagen, 1865",-85.322686,10.759036,"gbif",2024-01-12,"4512252821"
"4","Argia pulla Hagen, 1865",-85.173634,12.212398,"gbif",2024-01-21,"4516606040"
"5","Argia pulla Hagen, 1865",-96.612281,15.698608,"gbif",2024-01-29,"4519102962"
"6","Argia pulla Hagen, 1865",-107.356406,24.810223,"gbif",2024-02-06,"4522541257"
"7","Argia pulla Hagen, 1865",-75.920548,4.846999,"gbif",2024-02-19,"4525357919"
"8","Argia pulla Hagen, 1865",-79.696513,9.116464,"gbif",2023-01-02,"4015006828"
"9","Argia pulla Hagen, 1865",-94.980275,16.551664,"gbif",2023-01-19,"4022049839"
"10","Argia pulla Hagen, 1865",-85.692738,10.554318,"gbif",2023-01-14,"4022346521"
"11","Argia pulla Hagen, 1865",-83.736267,9.173945,"gbif",2023-01-26,"4500716940"
"12","Argia pulla Hagen, 1865",-80.931467,7.995375,"gbif",2023-01-27,"4028946073"
"13","Argia pulla Hagen, 1865",-79.692543,9.121632,"gbif",2023-01-19,"4062914906"
"14","Argia pulla Hagen, 1865",-78.467293,8.949635,"gbif",2023-01-22,"4067488518"
"15","Argia pulla Hagen, 1865",-78.467293,8.949635,"gbif",2023-01-22,"4067434482"
"16","Argia pulla Hagen, 1865",-78.467293,8.949635,"gbif",2023-01-22,"4067581495"
"17","Argia pulla Hagen, 1865",-78.468128,8.949092,"gbif",2023-01-22,"4067455513"
"18","Argia pulla Hagen, 1865",-78.468128,8.949092,"gbif",2023-01-22,"4067711458"
"19","Argia pulla Hagen, 1865",-83.736267,9.173945,"gbif",2023-01-26,"4500725120"
"20","Argia pulla Hagen, 1865",-83.919943,10.178699,"gbif",2023-01-09,"4137658809"
"21","Argia pulla Hagen, 1865",-75.79153,4.453588,"gbif",2023-02-19,"4046385689"
"22","Argia pulla Hagen, 1865",-79.715486,9.129154,"gbif",2023-02-09,"4062669573"
"23","Argia pulla Hagen, 1865",-80.147055,8.594963,"gbif",2023-02-19,"4054770147"
"24","Argia pulla Hagen, 1865",-80.147055,8.594963,"gbif",2023-02-19,"4054840161"
"25","Argia pulla Hagen, 1865",-83.726457,8.638229,"gbif",2023-02-03,"4080536526"
"26","Argia pulla Hagen, 1865",-79.635091,9.048317,"gbif",2023-02-15,"4067501450"
"27","Argia pulla Hagen, 1865",-79.635091,9.048317,"gbif",2023-02-15,"4067719413"
"28","Argia pulla Hagen, 1865",-81.29814,7.765303,"gbif",2023-02-21,"4067711547"
"29","Argia pulla Hagen, 1865",-79.743687,-3.651631,"gbif",2023-02-28,"4091507809"
"30","Argia pulla Hagen, 1865",-84.917618,10.162082,"gbif",2023-02-07,"4526614727"
"31","Argia pulla Hagen, 1865",-85.593506,11.121939,"gbif",2023-02-03,"4526605893"
"32","Argia pulla Hagen, 1865",-94.873635,16.58528,"gbif",2023-03-13,"4080674526"
"33","Argia pulla Hagen, 1865",-94.873727,16.586495,"gbif",2023-03-13,"4075557908"
"34","Argia pulla Hagen, 1865",-84.352476,10.991706,"gbif",2023-03-10,"4067616752"
"35","Argia pulla Hagen, 1865",-84.353197,10.992222,"gbif",2023-03-11,"4067183801"
"36","Argia pulla Hagen, 1865",-83.590742,8.480369,"gbif",2023-03-02,"4067262206"
"37","Argia pulla Hagen, 1865",-96.266433,17.800803,"gbif",2023-03-21,"4076298041"
"38","Argia pulla Hagen, 1865",-83.595925,8.482433,"gbif",2023-03-02,"4075956798"
"39","Argia pulla Hagen, 1865",-79.656512,9.553584,"gbif",2023-03-13,"4076300746"
"40","Argia pulla Hagen, 1865",-83.20158,8.701463,"gbif",2023-03-29,"4075839055"
"41","Argia pulla Hagen, 1865",-83.204877,8.698458,"gbif",2023-03-17,"4405234722"
"42","Argia pulla Hagen, 1865",-83.204877,8.698458,"gbif",2023-03-17,"4405299850"
"43","Argia pulla Hagen, 1865",-83.667886,8.642972,"gbif",2023-03-21,"4405074539"
"44","Argia pulla Hagen, 1865",-90.29288,17.247216,"gbif",2023-04-06,"4091950556"
"45","Argia pulla Hagen, 1865",-79.546471,8.986821,"gbif",2023-04-29,"4111737646"
"46","Argia pulla Hagen, 1865",-79.47494,9.00765,"gbif",2023-05-30,"4138288992"
"47","Argia pulla Hagen, 1865",-78.928824,9.1088,"gbif",2023-05-22,"4129935150"
"48","Argia pulla Hagen, 1865",-85.847088,14.836952,"gbif",2023-06-02,"4138264235"
"49","Argia pulla Hagen, 1865",-86.884649,15.439956,"gbif",2023-06-29,"4413650540"
"50","Argia pulla Hagen, 1865",-79.594925,9.011039,"gbif",2023-07-01,"4145426091"
"51","Argia pulla Hagen, 1865",-86.990292,14.000867,"gbif",2023-07-09,"4153737657"
"52","Argia pulla Hagen, 1865",-103.325713,20.743704,"gbif",2023-07-06,"4153515469"
"53","Argia pulla Hagen, 1865",-83.739485,9.156164,"gbif",2023-07-11,"4162281982"
"54","Argia pulla Hagen, 1865",-96.947883,17.754777,"gbif",2023-07-25,"4405119568"
"55","Argia pulla Hagen, 1865",-87.456753,15.740492,"gbif",2023-08-28,"4407505307"
"56","Argia pulla Hagen, 1865",-79.560428,8.982165,"gbif",2023-08-27,"4416710670"
"57","Argia pulla Hagen, 1865",-79.560727,8.982083,"gbif",2023-08-27,"4416742662"
"58","Argia pulla Hagen, 1865",-79.560089,8.982286,"gbif",2023-08-27,"4416711751"
"59","Argia pulla Hagen, 1865",-79.560355,8.982258,"gbif",2023-08-27,"4416779714"
"60","Argia pulla Hagen, 1865",-104.228328,19.818155,"gbif",2023-09-11,"4413899876"
"61","Argia pulla Hagen, 1865",-79.569635,9.014297,"gbif",2023-09-12,"4416687654"
"62","Argia pulla Hagen, 1865",-80.144987,8.59722,"gbif",2023-09-20,"4416738592"
"63","Argia pulla Hagen, 1865",-86.989678,14.003972,"gbif",2023-09-23,"4431062705"
"64","Argia pulla Hagen, 1865",-89.563912,13.977828,"gbif",2023-09-07,"4522538746"
"65","Argia pulla Hagen, 1865",-89.563912,13.977828,"gbif",2023-09-08,"4522603987"
"66","Argia pulla Hagen, 1865",-108.8857,26.94141,"gbif",2023-09-04,"4404498310"
"67","Argia pulla Hagen, 1865",-108.915273,26.771229,"gbif",2023-09-20,"4412920311"
"68","Argia pulla Hagen, 1865",-108.915273,26.771229,"gbif",2023-09-06,"4405891329"
"69","Argia pulla Hagen, 1865",-108.700672,26.8579,"gbif",2023-10-26,"4432704313"
"70","Argia pulla Hagen, 1865",-103.326748,20.743733,"gbif",2023-11-02,"4438850155"
"71","Argia pulla Hagen, 1865",-103.326674,20.743813,"gbif",2023-11-02,"4438842075"
"72","Argia pulla Hagen, 1865",-103.326766,20.74372,"gbif",2023-11-02,"4438826140"
"73","Argia pulla Hagen, 1865",-103.326764,20.743719,"gbif",2023-11-02,"4438830131"
"74","Argia pulla Hagen, 1865",-103.326795,20.743793,"gbif",2023-11-02,"4439024127"
"75","Argia pulla Hagen, 1865",-80.267456,7.461011,"gbif",2023-11-13,"4442541304"
"76","Argia pulla Hagen, 1865",-80.126926,8.605667,"gbif",2023-11-03,"4440963113"
"77","Argia pulla Hagen, 1865",-84.608974,9.756158,"gbif",2023-11-06,"4465730283"
"78","Argia pulla Hagen, 1865",-81.327033,8.014305,"gbif",2023-12-08,"4465681144"
"79","Argia pulla Hagen, 1865",-81.326908,8.014147,"gbif",2023-12-08,"4465447179"
"80","Argia pulla Hagen, 1865",-81.32008,8.016713,"gbif",2023-12-08,"4500551704"
"81","Argia pulla Hagen, 1865",-79.564875,9.103418,"gbif",2023-12-08,"4465515370"
"82","Argia pulla Hagen, 1865",-81.32254,8.061013,"gbif",2023-12-08,"4465832523"
"83","Argia pulla Hagen, 1865",-81.265263,7.8796,"gbif",2023-12-09,"4465777673"
"84","Argia pulla Hagen, 1865",-81.438886,8.14208,"gbif",2023-12-09,"4465721568"
"85","Argia pulla Hagen, 1865",-81.314438,8.010961,"gbif",2023-12-10,"4465493857"
"86","Argia pulla Hagen, 1865",-84.202846,9.454288,"gbif",2023-12-04,"4500751228"
"87","Argia pulla Hagen, 1865",-77.734385,8.205326,"gbif",2023-12-14,"4507738460"
"88","Argia pulla Hagen, 1865",-79.581772,8.897522,"gbif",2023-12-26,"4512193123"
"89","Argia pulla Hagen, 1865",-88.568298,17.052858,"gbif",2023-12-16,"4522558667"
"90","Argia pulla Hagen, 1865",-103.613538,20.691497,"gbif",2022-01-02,"3873028535"
"91","Argia pulla Hagen, 1865",-85.899965,14.85586,"gbif",2022-01-06,"3457122378"
"92","Argia pulla Hagen, 1865",-79.704119,9.120981,"gbif",2022-01-21,"3466037973"
"93","Argia pulla Hagen, 1865",-84.154327,9.410379,"gbif",2022-01-20,"3466376385"
"94","Argia pulla Hagen, 1865",-83.518303,8.674845,"gbif",2022-01-22,"3705736502"
"95","Argia pulla Hagen, 1865",-83.204392,8.701193,"gbif",2022-01-24,"3705734439"
"96","Argia pulla Hagen, 1865",-82.87075,9.641233,"gbif",2022-01-30,"3705794469"
"97","Argia pulla Hagen, 1865",-99.155456,16.818195,"gbif",2022-01-11,"4407287461"
"98","Argia pulla Hagen, 1865",-96.357254,15.841054,"gbif",2022-01-11,"3922620303"
"99","Argia pulla Hagen, 1865",-96.36351,15.851442,"gbif",2022-01-15,"3922615304"
"100","Argia pulla Hagen, 1865",-108.8857,26.94141,"gbif",2022-01-06,"3467890304"
"101","Argia pulla Hagen, 1865",-96.297504,15.751466,"gbif",2022-01-10,"3922620312"
"102","Argia pulla Hagen, 1865",-96.374756,15.868883,"gbif",2022-01-11,"3922617321"
"103","Argia pulla Hagen, 1865",-81.053906,8.545166,"gbif",2022-02-13,"3499489901"
"104","Argia pulla Hagen, 1865",-83.077869,8.609298,"gbif",2022-02-24,"3712698532"
"105","Argia pulla Hagen, 1865",-78.757262,9.029312,"gbif",2022-02-13,"3747035227"
"106","Argia pulla Hagen, 1865",-78.753035,9.022432,"gbif",2022-02-14,"3747138514"
"107","Argia pulla Hagen, 1865",-78.46751,8.94947,"gbif",2022-02-15,"3747208461"
"108","Argia pulla Hagen, 1865",-78.467583,8.949607,"gbif",2022-02-15,"3747162936"
"109","Argia pulla Hagen, 1865",-78.466252,8.953515,"gbif",2022-02-16,"3759843948"
"110","Argia pulla Hagen, 1865",-78.467955,8.949342,"gbif",2022-02-16,"3759855940"
"111","Argia pulla Hagen, 1865",-78.466437,8.953503,"gbif",2022-02-16,"3759848909"
"112","Argia pulla Hagen, 1865",-78.466647,8.953537,"gbif",2022-02-16,"3759876941"
"113","Argia pulla Hagen, 1865",-78.465978,8.954033,"gbif",2022-02-16,"3759849955"
"114","Argia pulla Hagen, 1865",-78.466712,8.951953,"gbif",2022-02-16,"3759507938"
"115","Argia pulla Hagen, 1865",-78.39217,8.944258,"gbif",2022-02-17,"3759063265"
"116","Argia pulla Hagen, 1865",-78.380853,8.822025,"gbif",2022-02-17,"3759223251"
"117","Argia pulla Hagen, 1865",-78.3927,8.942367,"gbif",2022-02-17,"3759130288"
"118","Argia pulla Hagen, 1865",-78.382243,8.894583,"gbif",2022-02-18,"3760185472"
"119","Argia pulla Hagen, 1865",-77.732977,8.10771,"gbif",2022-02-26,"3784963416"
"120","Argia pulla Hagen, 1865",-109.06807,26.99776,"gbif",2022-02-28,"3753302306"
"121","Argia pulla Hagen, 1865",-80.127296,8.608173,"gbif",2022-03-26,"3759637275"
"122","Argia pulla Hagen, 1865",-82.965495,9.720626,"gbif",2022-03-23,"3772685502"
"123","Argia pulla Hagen, 1865",-83.326767,10.035207,"gbif",2022-03-29,"3759662130"
"124","Argia pulla Hagen, 1865",-83.326786,10.03535,"gbif",2022-03-29,"3760337186"
"125","Argia pulla Hagen, 1865",-79.692707,9.117988,"gbif",2022-03-18,"3759443713"
"126","Argia pulla Hagen, 1865",-79.693135,9.117682,"gbif",2022-03-18,"3759372758"
"127","Argia pulla Hagen, 1865",-80.52302,8.487755,"gbif",2022-03-03,"3764494898"
"128","Argia pulla Hagen, 1865",-80.49478,8.430665,"gbif",2022-03-03,"3764532891"
"129","Argia pulla Hagen, 1865",-80.960687,7.609482,"gbif",2022-03-06,"3773034813"
"130","Argia pulla Hagen, 1865",-80.960788,7.609455,"gbif",2022-03-06,"3772872065"
"131","Argia pulla Hagen, 1865",-108.8857,26.94141,"gbif",2022-03-03,"3696114305"
"132","Argia pulla Hagen, 1865",-83.322201,10.047698,"gbif",2022-04-25,"3772454617"
"133","Argia pulla Hagen, 1865",-81.324977,7.991103,"gbif",2022-04-30,"3784650434"
"134","Argia pulla Hagen, 1865",-76.536945,3.331949,"gbif",2022-04-30,"3772952379"
"135","Argia pulla Hagen, 1865",-108.73425,27.04209,"gbif",2022-04-10,"3753291309"
"136","Argia pulla Hagen, 1865",-79.692651,9.116676,"gbif",2022-05-05,"3784883624"
"137","Argia pulla Hagen, 1865",-90.392052,14.923936,"gbif",2022-05-22,"3802406256"
"138","Argia pulla Hagen, 1865",-90.391505,14.924623,"gbif",2022-05-22,"3802678880"
"139","Argia pulla Hagen, 1865",-90.391776,14.92427,"gbif",2022-05-22,"3802341153"
"140","Argia pulla Hagen, 1865",-90.39135,14.924915,"gbif",2022-05-22,"3802424068"
"141","Argia pulla Hagen, 1865",-90.391966,14.924142,"gbif",2022-05-22,"3802352238"
"142","Argia pulla Hagen, 1865",-80.111293,8.614695,"gbif",2022-05-30,"3859383813"
"143","Argia pulla Hagen, 1865",-108.8857,26.94141,"gbif",2022-05-22,"3862648308"
"144","Argia pulla Hagen, 1865",-82.429181,8.485416,"gbif",2022-06-01,"3902191135"
"145","Argia pulla Hagen, 1865",-83.296211,8.376746,"gbif",2022-06-02,"3858581093"
"146","Argia pulla Hagen, 1865",-76.142472,5.340855,"gbif",2022-06-22,"3922617301"
"147","Argia pulla Hagen, 1865",-76.146742,5.33471,"gbif",2022-06-22,"3922616311"
"148","Argia pulla Hagen, 1865",-84.65257,10.469813,"gbif",2022-07-02,"4458327626"
"149","Argia pulla Hagen, 1865",-79.635685,9.047152,"gbif",2022-07-21,"3873497733"
"150","Argia pulla Hagen, 1865",-79.635867,9.047071,"gbif",2022-07-21,"3873185867"
"151","Argia pulla Hagen, 1865",-79.561317,8.979471,"gbif",2022-08-06,"3889276367"
"152","Argia pulla Hagen, 1865",-79.561333,8.979464,"gbif",2022-08-06,"3889096278"
"153","Argia pulla Hagen, 1865",-109.432932,27.104583,"gbif",2022-08-13,"3925384569"
"154","Argia pulla Hagen, 1865",-85.248322,15.067298,"gbif",2022-08-16,"3947213722"
"155","Argia pulla Hagen, 1865",-85.249062,15.067735,"gbif",2022-08-16,"3961312670"
"156","Argia pulla Hagen, 1865",-74.705224,5.373887,"gbif",2022-08-03,"4153746472"
"157","Argia pulla Hagen, 1865",-79.476783,9.034314,"gbif",2022-08-31,"4076287147"
"158","Argia pulla Hagen, 1865",-108.918,26.919056,"gbif",2022-08-10,"3899123361"
"159","Argia pulla Hagen, 1865",-109.255,28.430417,"gbif",2022-08-08,"3899124441"
"160","Argia pulla Hagen, 1865",-109.425194,27.113083,"gbif",2022-08-13,"3899126534"
"161","Argia pulla Hagen, 1865",-108.915833,26.974722,"gbif",2022-08-10,"3899124540"
"162","Argia pulla Hagen, 1865",-86.988582,14.003391,"gbif",2022-09-27,"3923567963"
