"","name","longitude","latitude","prov","date","key"
"1","Argia pulla Hagen, 1865",-110.92708,29.0717,"gbif",2019-08-13,"3035003978"
"2","Argia pulla Hagen, 1865",-110.926042,29.071068,"gbif",2019-08-13,"3383967422"
"3","Argia pulla Hagen, 1865",-110.925308,29.070978,"gbif",2022-12-02,"3988655912"
"4","Argia pulla Hagen, 1865",-110.925247,29.070978,"gbif",2022-12-02,"3988707939"
"5","Argia pulla Hagen, 1865",-110.349204,28.71853,"gbif",2016-09-03,"3985842482"
"6","Argia pulla Hagen, 1865",-110.347549,28.719593,"gbif",2005-06-30,"3383870453"
"7","Argia pulla Hagen, 1865",-109.63296,26.86302,"gbif",2019-10-22,"3034970088"
"8","Argia pulla Hagen, 1865",-109.455747,27.10351,"gbif",2016-10-07,"3985959547"
"9","Argia pulla Hagen, 1865",-109.43703,27.10326,"gbif",2022-10-26,"3948878305"
"10","Argia pulla Hagen, 1865",-109.432932,27.104583,"gbif",2022-08-13,"3925384569"
"11","Argia pulla Hagen, 1865",-109.425194,27.113083,"gbif",2022-08-13,"3899126534"
"12","Argia pulla Hagen, 1865",-109.38017,27.16742,"gbif",2021-10-12,"3396074304"
"13","Argia pulla Hagen, 1865",-109.26097,27.226761,"gbif",2021-10-12,"3396071310"
"14","Argia pulla Hagen, 1865",-109.259964,27.231299,"gbif",2021-10-12,"3396063320"
"15","Argia pulla Hagen, 1865",-109.256377,28.430389,"gbif",2018-08-09,"3985892408"
"16","Argia pulla Hagen, 1865",-109.255,28.430417,"gbif",2022-08-08,"3899124441"
"17","Argia pulla Hagen, 1865",-109.184733,27.389514,"gbif",2021-10-14,"3395075309"
"18","Argia pulla Hagen, 1865",-109.1152,27.21832,"gbif",2019-11-05,"3034850442"
"19","Argia pulla Hagen, 1865",-109.1116,27.22064,"gbif",2019-08-10,"3035021769"
"20","Argia pulla Hagen, 1865",-109.111515,27.220629,"gbif",2019-08-10,"2445091820"
"21","Argia pulla Hagen, 1865",-109.0925,27.401502,"gbif",2021-10-14,"3395079306"
"22","Argia pulla Hagen, 1865",-109.06807,26.99776,"gbif",2022-02-28,"3753302306"
"23","Argia pulla Hagen, 1865",-108.998075,25.793024,"gbif",NA,"1978282318"
"24","Argia pulla Hagen, 1865",-108.981213,27.041021,"gbif",2022-11-13,"3964835301"
"25","Argia pulla Hagen, 1865",-108.918,26.919056,"gbif",2022-08-10,"3899123361"
"26","Argia pulla Hagen, 1865",-108.915833,26.974722,"gbif",2022-08-10,"3899124540"
"27","Argia pulla Hagen, 1865",-108.915273,26.771229,"gbif",2023-09-20,"4412920311"
"28","Argia pulla Hagen, 1865",-108.914655,26.909543,"gbif",2019-08-09,"2465214989"
"29","Argia pulla Hagen, 1865",-108.913736,27.011233,"gbif",2021-09-24,"3395079303"
"30","Argia pulla Hagen, 1865",-108.895068,26.98125,"gbif",2021-12-18,"3421103307"
"31","Argia pulla Hagen, 1865",-108.8857,26.94141,"gbif",2023-09-04,"4404498310"
"32","Argia pulla Hagen, 1865",-108.8309,26.9467,"gbif",2021-08-25,"3341835473"
"33","Argia pulla Hagen, 1865",-108.808064,26.995375,"gbif",2022-11-22,"3970335303"
"34","Argia pulla Hagen, 1865",-108.78544,27.00406,"gbif",2019-08-11,"3035001177"
"35","Argia pulla Hagen, 1865",-108.785398,27.003563,"gbif",2019-08-11,"3384291415"
"36","Argia pulla Hagen, 1865",-108.757657,27.245541,"gbif",2022-11-06,"3962475317"
"37","Argia pulla Hagen, 1865",-108.754278,27.061285,"gbif",2021-11-06,"3406576314"
"38","Argia pulla Hagen, 1865",-108.73425,27.04209,"gbif",2022-04-10,"3753291309"
"39","Argia pulla Hagen, 1865",-108.721198,27.244594,"gbif",2022-11-06,"3962472316"
"40","Argia pulla Hagen, 1865",-108.700672,26.8579,"gbif",2023-10-26,"4432704313"
"41","Argia pulla Hagen, 1865",-108.697206,26.90332,"gbif",2021-09-14,"3393213323"
"42","Argia pulla Hagen, 1865",-107.467095,24.763487,"gbif",2024-01-02,"4512180645"
"43","Argia pulla Hagen, 1865",-107.385197,24.823255,"gbif",2020-07-28,"3398758479"
"44","Argia pulla Hagen, 1865",-107.383647,24.815995,"gbif",2024-01-06,"4512198834"
"45","Argia pulla Hagen, 1865",-107.356406,24.810223,"gbif",2024-02-06,"4522541257"
"46","Argia pulla Hagen, 1865",-106.768297,24.412535,"gbif",2021-05-04,"3398764603"
"47","Argia pulla Hagen, 1865",-106.443272,23.299536,"gbif",2014-05-18,"1802624009"
"48","Argia pulla Hagen, 1865",-106.443,23.299,"gbif",2021-09-03,"3398999871"
"49","Argia pulla Hagen, 1865",-106.441503,23.299771,"gbif",2021-03-29,"3384742063"
"50","Argia pulla Hagen, 1865",-106.440779,23.299216,"gbif",2018-07-27,"1891307211"
"51","Argia pulla Hagen, 1865",-106.44076,23.300126,"gbif",2018-11-18,"1993711080"
"52","Argia pulla Hagen, 1865",-106.438144,23.300425,"gbif",2021-10-08,"3398761958"
"53","Argia pulla Hagen, 1865",-106.438057,23.300418,"gbif",2014-11-26,"1978811629"
