"","Longitude","Latitude"
"2",-110.926042,29.071068
"6",-110.347549,28.719593
"7",-109.63296,26.86302
"8",-109.455747,27.10351
"9",-109.43703,27.10326
"11",-109.425194,27.113083
"12",-109.38017,27.16742
"13",-109.26097,27.226761
"15",-109.256377,28.430389
"17",-109.184733,27.389514
"20",-109.111515,27.220629
"21",-109.0925,27.401502
"22",-109.06807,26.99776
"23",-108.998075,25.793024
"24",-108.981213,27.041021
"25",-108.918,26.919056
"26",-108.915833,26.974722
"27",-108.915273,26.771229
"28",-108.914655,26.909543
"29",-108.913736,27.011233
"30",-108.895068,26.98125
"31",-108.8857,26.94141
"32",-108.8309,26.9467
"33",-108.808064,26.995375
"34",-108.78544,27.00406
"36",-108.757657,27.245541
"37",-108.754278,27.061285
"38",-108.73425,27.04209
"39",-108.721198,27.244594
"40",-108.700672,26.8579
"41",-108.697206,26.90332
"42",-107.467095,24.763487
"43",-107.385197,24.823255
"45",-107.356406,24.810223
"46",-106.768297,24.412535
"48",-106.443,23.299
"55",-106.372789,23.63857
"56",-106.358618,23.638712
"57",-105.532482,22.347754
"58",-105.53125,20.77601
"59",-105.466256,20.437203
"60",-105.463257,20.575882
"61",-105.44847,20.48822
"67",-105.438721,20.486362
"69",-105.428624,20.480526
"73",-105.383597,20.269075
"75",-105.361036,22.498717
"77",-105.3521,20.3383
"80",-105.31888,20.34278
"81",-105.28312,21.53967
"82",-105.271188,21.542401
"83",-105.265997,20.695731
"84",-105.227826,21.574568
"85",-105.212476,21.602735
"86",-105.179444,21.490278
"87",-105.17944,19.65583
"89",-105.158333,21.503889
"90",-105.143548,21.45242
"91",-105.143278,21.509542
"94",-105.116658,21.542848
"95",-105.094201,21.659526
"96",-105.08158,21.70139
"97",-105.07333,19.5275
"98",-105.066187,22.35253
"99",-105.0414,19.49665
"100",-105.032222,21.643889
"102",-105.01,21.018611
"103",-104.96194,19.405
"104",-104.9171,21.491002
"105",-104.899525,21.43253
"106",-104.895691,21.509505
"107",-104.88936,21.5008
"108",-104.872534,21.614151
"110",-104.858439,21.479289
"112",-104.818024,19.306637
"113",-104.727,21.838
"114",-104.573001,21.361857
"115",-104.544184,21.380687
"116",-104.463884,21.369705
"117",-104.438851,19.603907
"118",-104.363885,19.456862
"119",-104.228328,19.818155
"120",-104.1374,19.80578
"121",-104.125,19.12845
"122",-104.079014,20.900971
"124",-104.05925,19.7511
"125",-104.0554,19.79357
"126",-104.02077,19.81593
"127",-103.891018,20.22975
"131",-103.87136,20.669501
"137",-103.850611,20.643032
"142",-103.841786,20.68853
"143",-103.823159,20.36558
"144",-103.798,19.4197
"147",-103.757,19.00347
"148",-103.746458,20.89588
"149",-103.737,18.8655
"156",-103.72278,19.05944
"157",-103.71361,19.02556
"161",-103.7067,19.0111
"164",-103.70375,18.98617
"167",-103.689688,18.662576
"168",-103.676683,18.673383
"169",-103.617701,20.69803
"171",-103.612267,20.690356
"172",-103.373217,18.756167
"173",-103.361136,18.75579
"175",-103.326766,20.74372
"180",-103.222983,18.746867
"182",-103.024267,19.008733
"183",-103.012035,19.017921
"184",-102.794783,18.72505
"185",-102.776745,18.732001
